time,motor,pwm,direction,speed
8.678436279296875e-05,M1,10,FWD,0.0
0.10020208358764648,M1,10,FWD,0.09682893030469548
0.20029640197753906,M1,10,FWD,0.22598152891893414
0.30037665367126465,M1,10,FWD,0.12376918347549098
0.40044450759887695,M1,10,FWD,-0.016145806654502024
0.5005106925964355,M1,10,FWD,0.20451696188761712
0.6005764007568359,M1,10,FWD,-0.06458461151371978
0.7006416320800781,M1,10,FWD,-0.07534907248911966
0.8007080554962158,M1,10,FWD,-0.15069634970883866
0.9007742404937744,M1,10,FWD,-0.2744832909544335
1.0008432865142822,M1,10,FWD,-0.23142047183817435
1.1009259223937988,M1,10,FWD,-0.2152456261298838
1.2010092735290527,M1,10,FWD,-0.2098629856589788
1.30108642578125,M1,10,FWD,-0.19373167826853774
1.4011600017547607,M1,10,FWD,-0.17221209027500275
1.5012269020080566,M1,10,FWD,-0.17222357898634866
1.6013092994689941,M1,10,FWD,-0.18295921805900192
1.7013850212097168,M1,10,FWD,-0.19373444752549576
1.8014583587646484,M1,10,FWD,-0.17759414120222017
1.9015312194824219,M1,10,FWD,-0.15606832227863482
2.001601219177246,M1,10,FWD,-0.14530914400879827
2.1016933917999268,M1,10,FWD,-0.1022319308650293
2.201787233352661,M1,10,FWD,-0.11837184096182764
2.3018689155578613,M1,10,FWD,-0.10224264666847083
2.4019386768341064,M1,10,FWD,-0.10763665941576257
2.502004861831665,M1,10,FWD,-0.12378658219513668
2.6020703315734863,M1,10,FWD,-0.14531572213804658
2.7021379470825195,M1,10,FWD,-0.1345487093591175
2.8022027015686035,M1,10,FWD,-0.11840624957698159
2.9022679328918457,M1,10,FWD,-0.12916983855277658
3.002331495285034,M1,10,FWD,-0.1507006584272629
3.1024179458618164,M1,10,FWD,-0.1452852600208885
3.2025115489959717,M1,10,FWD,-0.13989432708534488
3.302598476409912,M1,10,FWD,-0.12376092816721597
3.4026713371276855,M1,10,FWD,-0.13992332342222433
3.5027382373809814,M1,10,FWD,-0.16145960529970185
3.60280442237854,M1,10,FWD,-0.15069670875929686
3.7028706073760986,M1,10,FWD,-0.1399326581336328
3.802935838699341,M1,10,FWD,-0.1453160683718736
3.903003215789795,M1,10,FWD,-0.16145883591869484
4.003068447113037,M1,10,FWD,-0.1668443747973364
4.103161573410034,M1,10,FWD,-0.1614173002302009
4.203250885009766,M1,10,FWD,-0.15066188882921108
4.303382396697998,M1,10,FWD,-0.1667339349780259
4.403467416763306,M1,10,FWD,-0.18295442383860291
4.503559350967407,M1,10,FWD,-0.18294178573454942
4.603640079498291,M1,10,FWD,-0.16681853943464447
4.703714609146118,M1,10,FWD,-0.17221044915564854
4.803788661956787,M1,10,FWD,-0.18835607624686104
4.903860330581665,M1,10,FWD,-0.1991240245774792
0.00010180473327636719,M1,-10,REV,0.0
